"Wyszczególnienie","Rok","Kwartał","Podatek od gier (tys zl)","data"
"Gry liczbowe","2018","I kw.","187448.932","2018I kw."
"Gry liczbowe","2018","II kw.","174765.546","2018II kw."
"Gry liczbowe","2018","III kw.","171108.488","2018III kw."
"Gry liczbowe","2018","IV kw.","180618.131","2018IV kw."
"Gry liczbowe","2019","I kw.","177925.13199999998","2019I kw."
"Gry liczbowe","2019","II kw.","190182.56","2019II kw."
"Gry liczbowe","2019","III kw.","193007.415","2019III kw."
"Gry liczbowe","2019","IV kw.","199237.164","2019IV kw."
"Gry liczbowe","2020","I kw.","211264.268","2020I kw."
"Gry liczbowe","2020","II kw.","176039.82799999998","2020II kw."
"Gry liczbowe","2020","III kw.","186509.57200000001","2020III kw."
"Gry liczbowe","2020","IV kw.","191800.489","2020IV kw."
"Gry liczbowe","2021","I kw.","208848.473","2021I kw."
"Gry liczbowe","2021","II kw.","202476.96800000002","2021II kw."
"Loterie pieniężne","2018","I kw.","51867.635","2018I kw."
"Loterie pieniężne","2018","II kw.","49199.358","2018II kw."
"Loterie pieniężne","2018","III kw.","48653.686","2018III kw."
"Loterie pieniężne","2018","IV kw.","52281.775","2018IV kw."
"Loterie pieniężne","2019","I kw.","55691.305","2019I kw."
"Loterie pieniężne","2019","II kw.","53961.663","2019II kw."
"Loterie pieniężne","2019","III kw.","56765.913","2019III kw."
"Loterie pieniężne","2019","IV kw.","59455.594","2019IV kw."
"Loterie pieniężne","2020","I kw.","57627.765","2020I kw."
"Loterie pieniężne","2020","II kw.","46080.434","2020II kw."
"Loterie pieniężne","2020","III kw.","54234.776000000005","2020III kw."
"Loterie pieniężne","2020","IV kw.","61477.03","2020IV kw."
"Loterie pieniężne","2021","I kw.","69359.212","2021I kw."
"Loterie pieniężne","2021","II kw.","69451.145","2021II kw."
"Salony gier na automatach","2018","I kw.","0","2018I kw."
"Salony gier na automatach","2018","II kw.","0.287","2018II kw."
"Salony gier na automatach","2018","III kw.","464.622","2018III kw."
"Salony gier na automatach","2018","IV kw.","1339.93","2018IV kw."
"Salony gier na automatach","2019","I kw.","2280.969","2019I kw."
"Salony gier na automatach","2019","II kw.","3433.422","2019II kw."
"Salony gier na automatach","2019","III kw.","4765.165","2019III kw."
"Salony gier na automatach","2019","IV kw.","6221.66","2019IV kw."
"Salony gier na automatach","2020","I kw.","7498.932","2020I kw."
"Salony gier na automatach","2020","II kw.","3723.856","2020II kw."
"Salony gier na automatach","2020","III kw.","10091.465","2020III kw."
"Salony gier na automatach","2020","IV kw.","13009.381","2020IV kw."
"Salony gier na automatach","2021","I kw.","4755.352","2021I kw."
"Salony gier na automatach","2021","II kw.","4457.821","2021II kw."
"Gry kasynowe (przez sieć Internet)","2018","I kw.","0","2018I kw."
"Gry kasynowe (przez sieć Internet)","2018","II kw.","0","2018II kw."
"Gry kasynowe (przez sieć Internet)","2018","III kw.","0","2018III kw."
"Gry kasynowe (przez sieć Internet)","2018","IV kw.","2198.348","2018IV kw."
"Gry kasynowe (przez sieć Internet)","2019","I kw.","16232.125","2019I kw."
"Gry kasynowe (przez sieć Internet)","2019","II kw.","18410.361","2019II kw."
"Gry kasynowe (przez sieć Internet)","2019","III kw.","21061.458000000002","2019III kw."
"Gry kasynowe (przez sieć Internet)","2019","IV kw.","23989.185","2019IV kw."
"Gry kasynowe (przez sieć Internet)","2020","I kw.","30651.107","2020I kw."
"Gry kasynowe (przez sieć Internet)","2020","II kw.","39286.486","2020II kw."
"Gry kasynowe (przez sieć Internet)","2020","III kw.","37919.329999999994","2020III kw."
"Gry kasynowe (przez sieć Internet)","2020","IV kw.","55604.77099999999","2020IV kw."
"Gry kasynowe (przez sieć Internet)","2021","I kw.","66906.349","2021I kw."
"Gry kasynowe (przez sieć Internet)","2021","II kw.","81116.91200000001","2021II kw."
"Kasyna gry","2018","I kw.","91558.81700000001","2018I kw."
"Kasyna gry","2018","II kw.","84767.393","2018II kw."
"Kasyna gry","2018","III kw.","95124.924","2018III kw."
"Kasyna gry","2018","IV kw.","112106.211","2018IV kw."
"Kasyna gry","2019","I kw.","108081.857","2019I kw."
"Kasyna gry","2019","II kw.","111912.95199999999","2019II kw."
"Kasyna gry","2019","III kw.","113401.228","2019III kw."
"Kasyna gry","2019","IV kw.","124174.17499999999","2019IV kw."
"Kasyna gry","2020","I kw.","92925.215","2020I kw."
"Kasyna gry","2020","II kw.","44567.712","2020II kw."
"Kasyna gry","2020","III kw.","99007.503","2020III kw."
"Kasyna gry","2020","IV kw.","82750.399","2020IV kw."
"Kasyna gry","2021","I kw.","34838.569","2021I kw."
"Kasyna gry","2021","II kw.","41599.262","2021II kw."
"Zakłady wzajemne","2018","I kw.","141048.147","2018I kw."
"Zakłady wzajemne","2018","II kw.","145839.578","2018II kw."
"Zakłady wzajemne","2018","III kw.","158356.834","2018III kw."
"Zakłady wzajemne","2018","IV kw.","177601.942","2018IV kw."
"Zakłady wzajemne","2019","I kw.","193595.70899999997","2019I kw."
"Zakłady wzajemne","2019","II kw.","188589.68399999998","2019II kw."
"Zakłady wzajemne","2019","III kw.","200445.482","2019III kw."
"Zakłady wzajemne","2019","IV kw.","241234.876","2019IV kw."
"Zakłady wzajemne","2020","I kw.","204857.66","2020I kw."
"Zakłady wzajemne","2020","II kw.","138580.81","2020II kw."
"Zakłady wzajemne","2020","III kw.","230636.749","2020III kw."
"Zakłady wzajemne","2020","IV kw.","299923.795","2020IV kw."
"Zakłady wzajemne","2021","I kw.","301514.966","2021I kw."
"Zakłady wzajemne","2021","II kw.","309334.585","2021II kw."
"Loterie audioteksowe","2018","I kw.","2041.211","2018I kw."
"Loterie audioteksowe","2018","II kw.","1453.604","2018II kw."
"Loterie audioteksowe","2018","III kw.","1778.511","2018III kw."
"Loterie audioteksowe","2018","IV kw.","2498.473","2018IV kw."
"Loterie audioteksowe","2019","I kw.","2147.0692999999997","2019I kw."
"Loterie audioteksowe","2019","II kw.","2733.236","2019II kw."
"Loterie audioteksowe","2019","III kw.","2561.917","2019III kw."
"Loterie audioteksowe","2019","IV kw.","3069.779","2019IV kw."
"Loterie audioteksowe","2020","I kw.","2847.824","2020I kw."
"Loterie audioteksowe","2020","II kw.","2070.954","2020II kw."
"Loterie audioteksowe","2020","III kw.","1595.112","2020III kw."
"Loterie audioteksowe","2020","IV kw.","3035.199","2020IV kw."
"Loterie audioteksowe","2021","I kw.","2797.92","2021I kw."
"Loterie audioteksowe","2021","II kw.","2939.42","2021II kw."
"Loterie fantowe","2018","I kw.","2.038","2018I kw."
"Loterie fantowe","2018","II kw.","3.795","2018II kw."
"Loterie fantowe","2018","III kw.","1.1","2018III kw."
"Loterie fantowe","2018","IV kw.","4.852","2018IV kw."
"Loterie fantowe","2019","I kw.","2.528","2019I kw."
"Loterie fantowe","2019","II kw.","4.379","2019II kw."
"Loterie fantowe","2019","III kw.","1.18","2019III kw."
"Loterie fantowe","2019","IV kw.","4.822","2019IV kw."
"Loterie fantowe","2020","I kw.","1.794","2020I kw."
"Loterie fantowe","2020","II kw.","0","2020II kw."
"Loterie fantowe","2020","III kw.","2.486","2020III kw."
"Loterie fantowe","2020","IV kw.","0","2020IV kw."
"Loterie fantowe","2021","I kw.","0","2021I kw."
"Loterie fantowe","2021","II kw.","1.513","2021II kw."
