"czasstr+P1:Q286ing","pojazdy","pojazdystring","stringczas"
"00 00","242","242","00 00"
"00 05","242","242","00 05"
"00 10","242","242","00 10"
"00 15","242","242","00 15"
"00 20","242","242","00 20"
"00 25","242","242","00 25"
"00 30","242","242","00 30"
"00 35","242","242","00 35"
"00 40","242","242","00 40"
"00 45","242","242","00 45"
"00 50","242","242","00 50"
"00 55","242","242","00 55"
"01 00","242","242","01 00"
"01 05","242","242","01 05"
"01 10","242","242","01 10"
"01 15","242","242","01 15"
"01 20","242","242","01 20"
"01 25","242","242","01 25"
"01 30","242","242","01 30"
"01 35","243","243","01 35"
"01 40","243","243","01 40"
"01 45","243","243","01 45"
"01 50","243","243","01 50"
"01 55","243","243","01 55"
"02 00","243","243","02 00"
"02 05","243","243","02 05"
"02 10","243","243","02 10"
"02 15","243","243","02 15"
"02 20","243","243","02 20"
"02 25","243","243","02 25"
"02 30","243","243","02 30"
"02 35","243","243","02 35"
"02 40","243","243","02 40"
"02 45","243","243","02 45"
"02 50","243","243","02 50"
"02 55","243","243","02 55"
"03 00","243","243","03 00"
"03 05","243","243","03 05"
"03 10","243","243","03 10"
"03 15","243","243","03 15"
"03 20","243","243","03 20"
"03 25","243","243","03 25"
"03 30","243","243","03 30"
"03 35","243","243","03 35"
"03 40","243","243","03 40"
"03 45","243","243","03 45"
"03 50","243","243","03 50"
"03 55","243","243","03 55"
"04 00","243","243","04 00"
"04 05","243","243","04 05"
"04 10","243","243","04 10"
"04 15","243","243","04 15"
"04 20","243","243","04 20"
"04 25","243","243","04 25"
"04 30","243","243","04 30"
"04 35","243","243","04 35"
"04 40","243","243","04 40"
"04 45","243","243","04 45"
"04 50","243","243","04 50"
"04 55","243","243","04 55"
"05 00","243","243","05 00"
"05 05","243","243","05 05"
"05 10","244","244","05 10"
"05 15","244","244","05 15"
"05 20","244","244","05 20"
"05 25","244","244","05 25"
"06 15","246","246","06 15"
"05 30","244","244","05 30"
"05 35","244","244","05 35"
"05 40","244","244","05 40"
"05 45","245","245","05 45"
"05 50","245","245","05 50"
"05 55","245","245","05 55"
"06 00","245","245","06 00"
"06 05","245","245","06 05"
"06 10","246","246","06 10"
"06 20","246","246","06 20"
"06 25","244","244","06 25"
"06 30","244","244","06 30"
"06 35","242","242","06 35"
"06 40","243","243","06 40"
"06 45","242","242","06 45"
"06 50","239","239","06 50"
"06 55","234","234","06 55"
"07 00","233","233","07 00"
"07 05","228","228","07 05"
"07 10","227","227","07 10"
"07 40","213","213","07 40"
"07 15","223","223","07 15"
"07 20","222","222","07 20"
"07 25","220","220","07 25"
"10 30","166","166","10 30"
"07 30","217","217","07 30"
"07 35","215","215","07 35"
"07 45","207","207","07 45"
"07 50","205","205","07 50"
"07 55","200","200","07 55"
"11 15","163","163","11 15"
"08 00","197","197","08 00"
"08 05","195","195","08 05"
"08 10","194","194","08 10"
"08 15","191","191","08 15"
"08 20","189","189","08 20"
"08 25","191","191","08 25"
"08 30","192","192","08 30"
"08 35","189","189","08 35"
"08 40","188","188","08 40"
"08 45","188","188","08 45"
"08 50","187","187","08 50"
"08 55","185","185","08 55"
"09 00","183","183","09 00"
"09 05","179","179","09 05"
"09 10","174","174","09 10"
"09 15","175","175","09 15"
"09 20","173","173","09 20"
"09 25","167","167","09 25"
"09 30","164","164","09 30"
"10 10","151","151","10 10"
"09 35","158","158","09 35"
"14 25","149","149","14 25"
"09 40","162","162","09 40"
"09 45","157","157","09 45"
"09 50","156","156","09 50"
"09 55","151","151","09 55"
"10 00","150","150","10 00"
"10 05","149","149","10 05"
"10 15","149","149","10 15"
"10 20","155","155","10 20"
"10 25","159","159","10 25"
"10 35","169","169","10 35"
"10 40","168","168","10 40"
"10 45","163","163","10 45"
"10 50","160","160","10 50"
"10 55","162","162","10 55"
"11 00","162","162","11 00"
"11 05","164","164","11 05"
"11 10","162","162","11 10"
"11 20","158","158","11 20"
"11 25","157","157","11 25"
"11 30","156","156","11 30"
"11 35","155","155","11 35"
"11 40","156","156","11 40"
"11 45","156","156","11 45"
"11 50","154","154","11 50"
"11 55","152","152","11 55"
"12 00","149","149","12 00"
"12 05","151","151","12 05"
"12 10","150","150","12 10"
"12 15","151","151","12 15"
"12 20","152","152","12 20"
"12 25","151","151","12 25"
"12 30","149","149","12 30"
"12 35","147","147","12 35"
"12 40","147","147","12 40"
"12 45","147","147","12 45"
"12 55","144","144","12 55"
"12 50","146","146","12 50"
"13 00","143","143","13 00"
"13 05","138","138","13 05"
"13 10","139","139","13 10"
"13 15","142","142","13 15"
"13 20","144","144","13 20"
"13 25","140","140","13 25"
"13 30","140","140","13 30"
"13 35","135","135","13 35"
"13 40","140","140","13 40"
"15 15","176","176","15 15"
"13 45","141","141","13 45"
"13 50","144","144","13 50"
"13 55","143","143","13 55"
"14 00","143","143","14 00"
"14 05","142","142","14 05"
"14 10","144","144","14 10"
"14 15","146","146","14 15"
"14 20","148","148","14 20"
"14 30","152","152","14 30"
"14 35","151","151","14 35"
"14 40","152","152","14 40"
"14 45","154","154","14 45"
"14 50","153","153","14 50"
"14 55","157","157","14 55"
"15 00","158","158","15 00"
"15 05","165","165","15 05"
"15 10","171","171","15 10"
"15 20","181","181","15 20"
"15 25","181","181","15 25"
"15 30","181","181","15 30"
"15 35","185","185","15 35"
"15 40","187","187","15 40"
"15 45","186","186","15 45"
"15 50","189","189","15 50"
"15 55","193","193","15 55"
"16 00","196","196","16 00"
"17 00","213","213","17 00"
"16 05","202","202","16 05"
"16 10","206","206","16 10"
"16 15","212","212","16 15"
"16 20","212","212","16 20"
"16 25","215","215","16 25"
"00 10","238","238","00 10"
"16 30","212","212","16 30"
"16 35","219","219","16 35"
"16 40","220","220","16 40"
"16 45","219","219","16 45"
"16 50","217","217","16 50"
"16 55","217","217","16 55"
"17 05","212","212","17 05"
"17 10","214","214","17 10"
"17 15","215","215","17 15"
"17 20","215","215","17 20"
"17 25","218","218","17 25"
"17 30","218","218","17 30"
"17 35","218","218","17 35"
"17 40","219","219","17 40"
"17 45","216","216","17 45"
"17 50","217","217","17 50"
"17 55","216","216","17 55"
"18 00","216","216","18 00"
"18 05","210","210","18 05"
"18 10","209","209","18 10"
"18 15","207","207","18 15"
"18 20","205","205","18 20"
"18 25","203","203","18 25"
"18 30","204","204","18 30"
"18 35","205","205","18 35"
"18 40","202","202","18 40"
"18 45","203","203","18 45"
"18 50","204","204","18 50"
"18 55","205","205","18 55"
"19 00","202","202","19 00"
"19 05","203","203","19 05"
"19 10","204","204","19 10"
"19 15","206","206","19 15"
"19 20","206","206","19 20"
"19 25","207","207","19 25"
"20 25","215","215","20 25"
"19 30","205","205","19 30"
"19 35","207","207","19 35"
"19 40","208","208","19 40"
"19 45","209","209","19 45"
"19 50","206","206","19 50"
"19 55","206","206","19 55"
"20 00","208","208","20 00"
"20 05","210","210","20 05"
"20 10","212","212","20 10"
"20 15","216","216","20 15"
"20 20","216","216","20 20"
"20 30","216","216","20 30"
"20 35","216","216","20 35"
"20 40","215","215","20 40"
"22 30","227","227","22 30"
"20 45","214","214","20 45"
"20 50","214","214","20 50"
"20 55","215","215","20 55"
"21 00","217","217","21 00"
"21 05","215","215","21 05"
"21 10","213","213","21 10"
"21 15","213","213","21 15"
"21 20","216","216","21 20"
"21 25","217","217","21 25"
"21 30","218","218","21 30"
"21 35","218","218","21 35"
"21 40","220","220","21 40"
"21 45","222","222","21 45"
"21 50","223","223","21 50"
"21 55","224","224","21 55"
"22 00","225","225","22 00"
"22 05","226","226","22 05"
"22 10","227","227","22 10"
"22 15","225","225","22 15"
"22 20","226","226","22 20"
"22 25","226","226","22 25"
"22 35","226","226","22 35"
"22 40","230","230","22 40"
"22 45","231","231","22 45"
"22 50","232","232","22 50"
"22 55","232","232","22 55"
"23 00","233","233","23 00"
"23 05","233","233","23 05"
"23 10","234","234","23 10"
"23 15","236","236","23 15"
"23 20","235","235","23 20"
"23 25","234","234","23 25"
"23 30","234","234","23 30"
"23 35","235","235","23 35"
"23 40","235","235","23 40"
"23 45","235","235","23 45"
"23 50","235","235","23 50"
"23 55","235","235","23 55"
"00 00","235","235","00 00"
"00 05","235","235","00 05"
"00 15","238","238","00 15"
"00 20","238","238","00 20"
"00 25","238","238","00 25"
"00 30","238","238","00 30"
